locality,properties,mae_inr
Adyar,26,3529284.2229867526
Anna Nagar,24,2762079.722270724
Chromepet,30,969296.8729458937
Egmore,21,2316011.793680385
Karapakkam,36,1296194.2774451973
Kilpauk,33,2331952.737144403
Kodambakkam,21,2431591.0506561385
Kovur,27,904528.5970026754
Koyambedu,31,2831613.6831457973
Kundrathur,28,693165.0885193439
Navalur,27,1115562.575429683
Porur,29,1314105.1774678729
Ramapuram,31,2191277.8206132115
Teynampet,29,5755775.408002951
Thiruporur,36,532635.9062777925
Thoraipakkam,24,1913102.3307138532
Velachery,27,1664681.6976706202
