property_id,split
demo-00000,fit
demo-00001,fit
demo-00002,fit
demo-00003,fit
demo-00004,fit
demo-00005,fit
demo-00006,fit
demo-00007,fit
demo-00008,calibration
demo-00009,fit
demo-00010,fit
demo-00011,fit
demo-00012,fit
demo-00013,fit
demo-00014,fit
demo-00015,fit
demo-00016,fit
demo-00017,fit
demo-00018,test
demo-00019,fit
demo-00020,fit
demo-00021,fit
demo-00022,fit
demo-00023,fit
demo-00024,calibration
demo-00025,test
demo-00026,fit
demo-00027,fit
demo-00028,fit
demo-00029,test
demo-00030,calibration
demo-00031,fit
demo-00032,calibration
demo-00033,fit
demo-00034,fit
demo-00035,fit
demo-00036,fit
demo-00037,fit
demo-00038,fit
demo-00039,fit
demo-00040,fit
demo-00041,fit
demo-00042,fit
demo-00043,test
demo-00044,test
demo-00045,fit
demo-00046,fit
demo-00047,fit
demo-00048,test
demo-00049,test
demo-00050,fit
demo-00051,test
demo-00052,fit
demo-00053,fit
demo-00054,fit
demo-00055,fit
demo-00056,test
demo-00057,calibration
demo-00058,fit
demo-00059,fit
demo-00060,fit
demo-00061,fit
demo-00062,fit
demo-00063,fit
demo-00064,fit
demo-00065,fit
demo-00066,calibration
demo-00067,test
demo-00068,fit
demo-00069,test
demo-00070,test
demo-00071,fit
demo-00072,fit
demo-00073,test
demo-00074,fit
demo-00075,fit
demo-00076,test
demo-00077,fit
demo-00078,fit
demo-00079,fit
demo-00080,fit
demo-00081,calibration
demo-00082,calibration
demo-00083,fit
demo-00084,test
demo-00085,fit
demo-00086,fit
demo-00087,fit
demo-00088,fit
demo-00089,fit
demo-00090,fit
demo-00091,fit
demo-00092,fit
demo-00093,fit
demo-00094,fit
demo-00095,fit
demo-00096,test
demo-00097,fit
demo-00098,calibration
demo-00099,fit
demo-00100,test
demo-00101,fit
demo-00102,fit
demo-00103,fit
demo-00104,fit
demo-00105,fit
demo-00106,fit
demo-00107,fit
demo-00108,calibration
demo-00109,test
demo-00110,fit
demo-00111,test
demo-00112,fit
demo-00113,fit
demo-00114,fit
demo-00115,fit
demo-00116,fit
demo-00117,fit
