property_id,locality,area_sqft,bedrooms,bathrooms,house_age,parking_spaces,furnishing,price_inr,data_kind,observed_on,area_basis,property_type,price_basis,source_url
demo-00000,Anna Nagar,499.0,1,1,20,1,Unfurnished,7236671.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00001,Teynampet,1644.0,3,3,15,1,Semi-Furnished,46805203.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00002,Porur,2153.0,4,3,5,0,Semi-Furnished,13650037.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00003,Kovur,1719.0,3,3,7,0,Semi-Furnished,12650347.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00004,Kovur,1103.0,2,1,15,1,Furnished,6819612.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00005,Thiruporur,2059.0,5,6,1,1,Unfurnished,10731658.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00006,Anna Nagar,978.0,2,2,11,1,Semi-Furnished,14696791.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00007,Porur,1697.0,4,5,16,0,Furnished,11122631.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00008,Egmore,1297.0,3,2,17,1,Furnished,23821937.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00009,Anna Nagar,583.0,1,1,29,0,Semi-Furnished,7049464.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00010,Koyambedu,1561.0,3,2,34,0,Furnished,20301332.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00011,Velachery,594.0,1,1,26,1,Semi-Furnished,5288926.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00012,Ramapuram,2271.0,5,4,2,1,Semi-Furnished,26527372.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00013,Ramapuram,1937.0,4,5,14,1,Semi-Furnished,22914028.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00014,Ramapuram,944.0,2,3,26,2,Unfurnished,8284634.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00015,Teynampet,1130.0,3,4,21,2,Unfurnished,24695930.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00016,Koyambedu,1637.0,4,3,16,1,Furnished,21984727.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00017,Chromepet,964.0,2,2,15,2,Unfurnished,4991202.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00018,Thiruporur,734.0,2,2,14,0,Semi-Furnished,2581500.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00019,Kovur,1749.0,3,3,20,2,Semi-Furnished,12731981.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00020,Koyambedu,762.0,2,2,6,1,Semi-Furnished,10760119.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00021,Kodambakkam,1598.0,4,5,18,2,Semi-Furnished,17363113.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00022,Egmore,541.0,1,2,7,2,Furnished,9913274.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00023,Thoraipakkam,1871.0,5,4,24,2,Furnished,16701776.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00024,Teynampet,1150.0,2,1,31,2,Furnished,37065783.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00025,Navalur,1594.0,3,2,18,0,Semi-Furnished,13009947.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00026,Kodambakkam,367.0,1,1,13,0,Furnished,4597394.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00027,Teynampet,1046.0,2,2,33,1,Semi-Furnished,26974433.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00028,Kundrathur,2032.0,4,5,23,1,Semi-Furnished,8661258.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
demo-00029,Kovur,1079.0,2,1,15,0,Furnished,6678445.0,synthetic,2026-06-30,synthetic_listed_area,Multistorey Apartment,synthetic,synthetic://generator-v2
