area_sqft,bedrooms,bathrooms,house_age,floors,parking_spaces,location,furnishing,price
812,5,4,22,2,2,Urban,Semi-Furnished,9789590.0
3208,3,3,30,2,3,Urban,Semi-Furnished,20259485.0
2791,5,5,7,1,2,Suburban,Furnished,20324517.0
2036,4,4,31,3,2,Urban,Furnished,16102588.0
2015,4,4,46,3,1,Rural,Semi-Furnished,12419938.0
3505,5,5,6,3,0,Urban,Furnished,26588740.0
800,3,3,16,2,1,Urban,Furnished,8361900.0
2940,4,5,34,3,2,Urban,Semi-Furnished,21246010.0
1205,2,2,30,2,0,Urban,Semi-Furnished,9079635.0
829,5,4,33,3,0,Urban,Unfurnished,10031583.0
2342,4,4,27,1,1,Suburban,Unfurnished,15842302.0
3914,4,3,34,1,3,Urban,Unfurnished,25268341.0
3075,3,4,30,2,2,Suburban,Furnished,19328577.0
3163,5,5,3,2,2,Rural,Semi-Furnished,20406688.0
3011,1,1,37,3,2,Suburban,Unfurnished,17891275.0
3251,1,1,22,1,0,Suburban,Semi-Furnished,19754758.0
2296,3,3,2,3,1,Urban,Semi-Furnished,17865415.0
948,4,3,20,1,0,Urban,Semi-Furnished,9081405.0
3439,5,4,21,2,3,Urban,Semi-Furnished,24405057.0
2076,3,3,4,3,3,Rural,Semi-Furnished,15954430.0
2251,4,3,49,2,1,Suburban,Furnished,14991896.0
1797,3,4,11,3,1,Urban,Semi-Furnished,15942689.0
1138,5,4,16,3,1,Suburban,Furnished,10649369.0
3743,4,5,22,3,3,Rural,Unfurnished,22964140.0
3235,3,3,41,2,1,Suburban,Unfurnished,19700696.0
2753,5,5,37,2,3,Suburban,Semi-Furnished,19318730.0
1908,1,1,38,1,1,Rural,Semi-Furnished,9455128.0
3379,5,5,11,2,2,Suburban,Unfurnished,22119138.0
2409,1,2,42,3,2,Suburban,Semi-Furnished,15228599.0
2051,2,1,41,2,1,Urban,Semi-Furnished,14544286.0
2076,5,4,23,2,3,Urban,Furnished,18418700.0
1295,4,4,27,1,2,Rural,Furnished,11121751.0
822,5,4,1,2,3,Suburban,Furnished,10403634.0
2441,4,3,38,1,3,Urban,Furnished,17635361.0
3607,4,4,48,3,0,Suburban,Unfurnished,22562094.0
723,2,2,23,2,0,Urban,Semi-Furnished,8013748.0
3504,1,1,27,1,2,Rural,Unfurnished,17908081.0
3396,1,2,24,1,1,Urban,Semi-Furnished,20295655.0
1468,2,3,4,3,1,Rural,Unfurnished,10297951.0
2710,1,1,30,3,0,Suburban,Semi-Furnished,15657908.0
1078,3,3,36,3,1,Urban,Semi-Furnished,9987099.0
3153,4,3,46,1,1,Urban,Unfurnished,20936373.0
2951,5,4,46,1,1,Rural,Semi-Furnished,18166526.0
1740,3,2,24,1,2,Urban,Furnished,14708911.0
737,5,5,47,3,2,Urban,Semi-Furnished,8115325.0
3897,5,5,26,3,1,Suburban,Semi-Furnished,25291779.0
2059,5,5,32,3,0,Urban,Semi-Furnished,16913082.0
3625,3,3,30,1,2,Urban,Unfurnished,21951390.0
2872,2,3,49,1,0,Urban,Unfurnished,17140973.0
3224,5,4,36,3,1,Rural,Semi-Furnished,19176460.0
3159,2,3,6,3,1,Urban,Furnished,21841989.0
1181,3,4,3,3,0,Urban,Semi-Furnished,12915698.0
1773,1,1,20,1,1,Urban,Unfurnished,13535413.0
2133,4,4,25,1,1,Urban,Furnished,15996599.0
2242,4,5,33,1,3,Urban,Unfurnished,17311990.0
653,1,1,24,3,3,Urban,Semi-Furnished,7646758.0
2412,2,3,25,3,0,Urban,Unfurnished,16678738.0
1040,3,4,46,2,2,Urban,Unfurnished,9777286.0
3101,3,3,16,1,2,Rural,Unfurnished,18497820.0
2890,5,4,24,3,1,Urban,Unfurnished,21829299.0
3728,2,2,27,1,1,Urban,Furnished,24162327.0
3106,5,4,23,3,3,Rural,Semi-Furnished,19304092.0
1783,3,3,48,3,1,Rural,Furnished,11658605.0
3886,5,5,48,3,0,Suburban,Furnished,25041861.0
1937,2,2,25,3,1,Urban,Furnished,14727877.0
1640,1,1,22,2,1,Urban,Unfurnished,12329997.0
3669,1,1,29,2,1,Urban,Semi-Furnished,22275452.0
1796,2,3,9,1,0,Urban,Unfurnished,13544527.0
767,5,4,21,3,0,Urban,Furnished,10228268.0
2143,1,1,10,3,3,Suburban,Furnished,13130829.0
3284,2,3,7,1,0,Urban,Unfurnished,21155521.0
1163,1,1,4,3,2,Suburban,Unfurnished,8319825.0
2120,5,5,29,1,2,Urban,Unfurnished,15798486.0
954,4,3,0,2,2,Urban,Furnished,12414613.0
2902,4,3,32,1,3,Suburban,Semi-Furnished,19163345.0
2164,4,4,21,2,0,Rural,Furnished,14306918.0
1655,4,4,18,2,1,Urban,Unfurnished,13460638.0
1294,4,3,38,2,0,Suburban,Furnished,10316119.0
2475,1,1,26,3,2,Urban,Unfurnished,16834005.0
2844,5,4,36,3,2,Urban,Furnished,20279924.0
3791,4,4,35,2,3,Suburban,Furnished,24154820.0
2030,4,5,1,3,1,Urban,Unfurnished,17488647.0
1062,2,1,10,2,0,Urban,Semi-Furnished,8077199.0
3414,5,4,28,1,3,Suburban,Semi-Furnished,22272501.0
2704,2,2,48,1,2,Urban,Semi-Furnished,16900296.0
2950,1,1,7,1,3,Urban,Furnished,19691319.0
840,5,4,5,3,1,Urban,Unfurnished,10301860.0
1593,2,1,47,2,1,Rural,Semi-Furnished,8714937.0
3187,1,1,48,2,1,Suburban,Furnished,19368939.0
3412,4,4,8,2,2,Urban,Semi-Furnished,23635654.0
2023,2,2,20,3,0,Urban,Furnished,15113798.0
3316,5,4,31,2,3,Suburban,Furnished,23624522.0
3445,3,4,9,1,0,Urban,Semi-Furnished,22593989.0
1856,1,1,16,1,1,Suburban,Furnished,13311473.0
3643,5,5,19,2,1,Suburban,Furnished,24212326.0
1509,3,2,32,2,2,Urban,Semi-Furnished,13374127.0
1338,2,3,15,3,2,Urban,Semi-Furnished,12437741.0
2888,4,5,20,2,3,Urban,Furnished,21802576.0
2728,3,2,14,3,3,Urban,Unfurnished,19149659.0
989,1,2,37,2,0,Urban,Unfurnished,7270971.0
3414,4,5,7,2,0,Rural,Furnished,21670854.0
1199,3,2,11,2,3,Urban,Furnished,12447953.0
3317,4,5,12,2,1,Suburban,Semi-Furnished,21999222.0
525,5,4,45,3,0,Suburban,Unfurnished,5873364.0
3288,4,3,47,1,3,Urban,Furnished,21767052.0
3254,4,3,25,2,2,Urban,Unfurnished,22540534.0
3231,2,2,7,1,0,Urban,Furnished,22143813.0
2826,2,2,37,3,3,Suburban,Furnished,17383195.0
2150,3,3,24,3,2,Urban,Unfurnished,15451988.0
2968,5,4,42,2,2,Suburban,Furnished,20079151.0
1469,3,2,17,3,3,Rural,Furnished,11763072.0
3232,2,3,49,2,1,Suburban,Unfurnished,19373593.0
2444,4,5,40,1,1,Rural,Semi-Furnished,14232503.0
2106,5,5,11,2,2,Suburban,Semi-Furnished,16181347.0
2269,5,4,36,3,0,Rural,Unfurnished,13627378.0
2490,2,3,14,1,0,Rural,Semi-Furnished,14450741.0
630,4,5,17,1,3,Suburban,Semi-Furnished,9244087.0
989,3,3,12,1,0,Rural,Furnished,6656980.0
