locality,low_inr_sqft,average_inr_sqft,high_inr_sqft,property_type,area_basis,period,checked_on,source_url
Thiruporur,3278,4365,5451,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Kodambakkam,10746,13648,16549,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Teynampet,21418,28876,36334,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Ramapuram,8883,11573,14262,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Egmore,14474,18948,23421,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Koyambedu,10009,13176,16343,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Kilpauk,11682,16013,20344,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Chromepet,4655,6400,8146,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Navalur,6014,8026,10038,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Kundrathur,4413,5721,7029,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Thoraipakkam,8318,10789,13260,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Karapakkam,7904,9748,11591,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Kovur,5595,7066,8537,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/ALL-RESIDENTIAL-rates-in-Chennai
Anna Nagar,12553,16275,19997,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Anna-Nagar-in-Chennai
Porur,6314,7990,9666,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Porur-in-Chennai
Velachery,7553,10231,12908,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Velachery-in-Chennai
Adyar,14630,18798,22966,Multistorey Apartment,Portal-listed area; carpet/built-up basis unspecified,2026 Q2,2026-09-12,https://www.magicbricks.com/Property-Rates-Trends/Multistorey-Apartment-rates-Adyar-in-Chennai
